exercise_id,keyword_id
incline-barbell-bench-press,75
incline-barbell-bench-press,76
incline-barbell-bench-press,77
decline-barbell-bench-press,6
decline-barbell-bench-press,7
decline-barbell-bench-press,8
decline-barbell-bench-press,11
decline-barbell-bench-press,17
decline-barbell-bench-press,18
decline-barbell-bench-press,19
decline-barbell-bench-press,35
decline-barbell-bench-press,36
decline-barbell-bench-press,38
decline-barbell-bench-press,76
decline-barbell-bench-press,77
decline-barbell-bench-press,78
decline-barbell-bench-press,79
decline-barbell-bench-press,80
close-grip-push-ups,1
close-grip-push-ups,2
close-grip-push-ups,3
close-grip-push-ups,4
close-grip-push-ups,6
close-grip-push-ups,7
close-grip-push-ups,8
close-grip-push-ups,10
close-grip-push-ups,81
close-grip-push-ups,82
close-grip-push-ups,83
close-grip-push-ups,84
close-grip-push-ups,85
close-grip-push-ups,86
close-grip-push-ups,87
close-grip-push-ups,88
wide-grip-push-ups,1
wide-grip-push-ups,2
wide-grip-push-ups,3
wide-grip-push-ups,4
wide-grip-push-ups,6
wide-grip-push-ups,7
wide-grip-push-ups,10
wide-grip-push-ups,17
wide-grip-push-ups,89
wide-grip-push-ups,90
wide-grip-push-ups,91
wide-grip-push-ups,92
wide-grip-push-ups,93
wide-grip-push-ups,94
wide-grip-push-ups,95
decline-push-ups,1
decline-push-ups,2
decline-push-ups,3
decline-push-ups,6
decline-push-ups,7
decline-push-ups,10
decline-push-ups,17
decline-push-ups,35
decline-push-ups,49
decline-push-ups,50
decline-push-ups,96
decline-push-ups,97
decline-push-ups,98
decline-push-ups,99
decline-push-ups,100
decline-push-ups,101
decline-push-ups,102
decline-push-ups,103
incline-push-ups,1
incline-push-ups,2
incline-push-ups,3
incline-push-ups,4
incline-push-ups,6
incline-push-ups,7
incline-push-ups,8
incline-push-ups,10
incline-push-ups,99
incline-push-ups,102
incline-push-ups,104
incline-push-ups,105
incline-push-ups,106
incline-push-ups,107
plyometric-push-ups,108
plyometric-push-ups,109
plyometric-push-ups,110
plyometric-push-ups,111
plyometric-push-ups,112
plyometric-push-ups,113
plyometric-push-ups,114
plyometric-push-ups,115
plyometric-push-ups,116
plyometric-push-ups,117
plyometric-push-ups,118
plyometric-push-ups,1
plyometric-push-ups,6
plyometric-push-ups,7
plyometric-push-ups,8
plyometric-push-ups,10
ring-push-ups,119
ring-push-ups,120
ring-push-ups,121
ring-push-ups,122
ring-push-ups,123
ring-push-ups,124
ring-push-ups,125
ring-push-ups,126
ring-push-ups,127
ring-push-ups,128
dumbbell-press-neutral-grip,129
dumbbell-press-neutral-grip,130
dumbbell-press-neutral-grip,131
dumbbell-press-neutral-grip,132
dumbbell-press-neutral-grip,133
dumbbell-press-neutral-grip,134
dumbbell-press-neutral-grip,135
dumbbell-press-neutral-grip,136
dumbbell-press-neutral-grip,6
dumbbell-press-neutral-grip,8
dumbbell-press-neutral-grip,12
dumbbell-press-neutral-grip,15
dumbbell-press-neutral-grip,17
dumbbell-press-neutral-grip,18
smith-machine-incline-bench-press,31
smith-machine-incline-bench-press,32
smith-machine-incline-bench-press,33
smith-machine-incline-bench-press,47
smith-machine-incline-bench-press,49
smith-machine-incline-bench-press,72
smith-machine-incline-bench-press,137
smith-machine-incline-bench-press,138
smith-machine-incline-bench-press,139
smith-machine-incline-bench-press,140
smith-machine-incline-bench-press,141
smith-machine-incline-bench-press,142
smith-machine-incline-bench-press,143
smith-machine-incline-bench-press,144
smith-machine-decline-bench-press,31
smith-machine-decline-bench-press,32
smith-machine-decline-bench-press,33
smith-machine-decline-bench-press,6
smith-machine-decline-bench-press,7
smith-machine-decline-bench-press,8
smith-machine-decline-bench-press,11
smith-machine-decline-bench-press,18
smith-machine-decline-bench-press,35
smith-machine-decline-bench-press,36
smith-machine-decline-bench-press,38
smith-machine-decline-bench-press,145
smith-machine-decline-bench-press,146
smith-machine-decline-bench-press,147
smith-machine-decline-bench-press,148
smith-machine-decline-bench-press,149
smith-machine-decline-bench-press,150
smith-machine-decline-bench-press,151
smith-machine-decline-bench-press,152
smith-machine-decline-bench-press,153
cable-crossover-high-to-low,6
cable-crossover-high-to-low,17
cable-crossover-high-to-low,20
