exercise_id,tag_id
pull-ups-neutral-grip,5
pull-ups-neutral-grip,8
pull-ups-neutral-grip,14
pull-ups-neutral-grip,15
pull-ups-neutral-grip,19
pull-ups-archer,5
pull-ups-archer,8
pull-ups-archer,14
pull-ups-archer,17
pull-ups-one-arm,5
pull-ups-one-arm,8
pull-ups-one-arm,14
pull-ups-one-arm,17
pull-ups-weighted,5
pull-ups-weighted,8
pull-ups-weighted,14
pull-ups-weighted,15
pull-ups-l-sit,5
pull-ups-l-sit,8
pull-ups-l-sit,14
pull-ups-l-sit,17
pull-ups-l-sit,3
pull-ups-behind-neck,5
pull-ups-behind-neck,8
pull-ups-behind-neck,14
pull-ups-behind-neck,17
explosive-pull-ups,5
explosive-pull-ups,8
explosive-pull-ups,14
explosive-pull-ups,17
scapular-retraction-hang,1
scapular-retraction-hang,2
scapular-retraction-hang,5
scapular-retraction-hang,8
scapular-retraction-hang,14
dead-hang,1
dead-hang,2
dead-hang,5
dead-hang,8
dead-hang,14
chest-to-bar-pull-ups,5
chest-to-bar-pull-ups,8
chest-to-bar-pull-ups,14
chest-to-bar-pull-ups,15
muscle-up,5
muscle-up,8
muscle-up,14
muscle-up,17
pull-ups-rings,5
pull-ups-rings,8
pull-ups-rings,14
pull-ups-rings,17
pull-ups-rings,18
pull-ups-rings-wide-grip,5
pull-ups-rings-wide-grip,8
pull-ups-rings-wide-grip,14
pull-ups-rings-wide-grip,17
pull-ups-rings-wide-grip,18
trx-row-standing,5
trx-row-standing,8
trx-row-standing,14
trx-row-standing,15
trx-row-standing,18
trx-row-standing,3
trx-pull-ups-assisted,1
trx-pull-ups-assisted,5
trx-pull-ups-assisted,8
trx-pull-ups-assisted,14
trx-pull-ups-assisted,18
lat-pulldown-wide-grip,5
lat-pulldown-wide-grip,8
lat-pulldown-wide-grip,13
lat-pulldown-wide-grip,15
lat-pulldown-medium-grip,1
lat-pulldown-medium-grip,5
lat-pulldown-medium-grip,8
lat-pulldown-medium-grip,13
lat-pulldown-close-grip,5
lat-pulldown-close-grip,8
lat-pulldown-close-grip,13
lat-pulldown-close-grip,15
lat-pulldown-underhand-grip,1
lat-pulldown-underhand-grip,5
lat-pulldown-underhand-grip,8
lat-pulldown-underhand-grip,13
lat-pulldown-neutral-grip,5
lat-pulldown-neutral-grip,8
lat-pulldown-neutral-grip,13
lat-pulldown-neutral-grip,19
lat-pulldown-behind-neck,5
lat-pulldown-behind-neck,8
lat-pulldown-behind-neck,13
lat-pulldown-behind-neck,17
lat-pulldown-behind-neck,19
lat-pulldown-straight-arm,5
lat-pulldown-straight-arm,8
lat-pulldown-straight-arm,11
lat-pulldown-straight-arm,13
lat-pulldown-one-arm,5
lat-pulldown-one-arm,8
lat-pulldown-one-arm,13
lat-pulldown-one-arm,17
lat-pulldown-wide-grip-chest,5
lat-pulldown-wide-grip-chest,8
lat-pulldown-wide-grip-chest,13
cable-pulldown-standing,5
cable-pulldown-standing,8
cable-pulldown-standing,12
cable-pulldown-standing,13
cable-pulldown-standing,3
cable-pulldown-seated,5
cable-pulldown-seated,8
cable-pulldown-seated,12
cable-pulldown-seated,13
cable-pulldown-seated,1
australian-pull-ups,1
australian-pull-ups,2
australian-pull-ups,5
australian-pull-ups,8
australian-pull-ups,14
australian-pull-ups-feet-elevated,2
australian-pull-ups-feet-elevated,5
australian-pull-ups-feet-elevated,8
australian-pull-ups-feet-elevated,14
australian-pull-ups-feet-elevated,15
australian-pull-ups-underhand-grip,1
australian-pull-ups-underhand-grip,2
australian-pull-ups-underhand-grip,5
australian-pull-ups-underhand-grip,8
australian-pull-ups-underhand-grip,14
dumbbell-one-arm-row,5
dumbbell-one-arm-row,8
dumbbell-one-arm-row,13
dumbbell-one-arm-row,15
dumbbell-one-arm-row,3
dumbbell-bent-over-row,5
dumbbell-bent-over-row,8
dumbbell-bent-over-row,13
dumbbell-bent-over-row,15
dumbbell-incline-bench-row,5
dumbbell-incline-bench-row,8
dumbbell-incline-bench-row,13
dumbbell-incline-bench-row,1
plank-row,5
plank-row,8
plank-row,17
plank-row,3
barbell-bent-over-row,5
barbell-bent-over-row,8
barbell-bent-over-row,13
barbell-bent-over-row,15
barbell-bent-over-row-underhand,5
barbell-bent-over-row-underhand,8
barbell-bent-over-row-underhand,13
barbell-bent-over-row-underhand,15
yates-row,5
yates-row,8
yates-row,13
yates-row,15
pendlay-row,5
pendlay-row,8
pendlay-row,13
pendlay-row,17
ez-bar-bent-over-row,5
ez-bar-bent-over-row,8
ez-bar-bent-over-row,13
ez-bar-bent-over-row,15
swiss-bar-row,5
swiss-bar-row,8
swiss-bar-row,13
swiss-bar-row,19
cable-seated-row,5
cable-seated-row,8
cable-seated-row,12
cable-seated-row,13
cable-standing-row,5
cable-standing-row,8
cable-standing-row,12
cable-standing-row,13
cable-one-arm-row,5
cable-one-arm-row,8
cable-one-arm-row,12
cable-one-arm-row,13
cable-wide-grip-row,5
cable-wide-grip-row,8
cable-wide-grip-row,12
cable-wide-grip-row,13
cable-close-grip-row,5
cable-close-grip-row,8
cable-close-grip-row,12
cable-close-grip-row,13
cable-horizontal-row-underhand-grip,5
cable-horizontal-row-underhand-grip,8
cable-horizontal-row-underhand-grip,12
cable-horizontal-row-underhand-grip,13
cable-horizontal-row-neutral-grip,5
cable-horizontal-row-neutral-grip,8
cable-horizontal-row-neutral-grip,12
cable-horizontal-row-neutral-grip,13
cable-horizontal-row-neutral-grip,19
cable-crossover-row-high,5
cable-crossover-row-high,8
cable-crossover-row-high,12
cable-crossover-row-high,13
cable-crossover-row-low,5
cable-crossover-row-low,8
cable-crossover-row-low,12
cable-crossover-row-low,13
cable-horizontal-row-kneeling,5
cable-horizontal-row-kneeling,8
cable-horizontal-row-kneeling,12
cable-horizontal-row-kneeling,13
hammer-strength-row,5
hammer-strength-row,8
hammer-strength-row,13
hammer-strength-row,15
t-bar-row-machine,5
t-bar-row-machine,8
t-bar-row-machine,13
t-bar-row-machine,15
trx-row,1
trx-row,5
trx-row,8
trx-row,14
trx-row,18
trx-row,3
trx-row-wide-grip,5
trx-row-wide-grip,8
trx-row-wide-grip,14
trx-row-wide-grip,15
trx-row-wide-grip,18
trx-row-wide-grip,3
trx-row-close-grip,5
trx-row-close-grip,8
trx-row-close-grip,14
trx-row-close-grip,15
trx-row-close-grip,18
trx-row-close-grip,3
trx-row-archer,5
trx-row-archer,8
trx-row-archer,14
trx-row-archer,17
trx-row-archer,18
trx-row-archer,3
